City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Bayshore Gardens,US,86.22,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
627,Mehran,IR,78.28,clear sky,33.1222,46.1646,بوتیک زنانه بهار
629,Dzilam Gonzalez,MX,86.58,scattered clouds,21.2833,-88.9333,posadas
633,Sterling,US,80.74,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
640,Tura,IN,71.87,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
646,Domokos,GR,71.56,clear sky,39.1272,22.3003,ΜΗΤΡΟΠΟΛΗ ΦΘΙΩΤΙΔΑΣ
648,Lufilufi,WS,87.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
650,Dhidhdhoo,MV,81.54,overcast clouds,6.8833,73.1,Dhidhoo beach
651,Voh,NC,74.23,clear sky,-20.9667,164.7,Le gîte du Koniambo
653,Kochi,IN,76.98,overcast clouds,9.9399,76.2602,Hotel Abad
659,Karimpur,IN,77.14,scattered clouds,23.9667,88.6167,gabrudanga jumma masjid
660,Roma,US,71.46,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
667,Panlaitan,PH,80.37,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
668,Marshall,US,75.38,scattered clouds,34.3834,-86.3333,Riverview Campground
671,Isla Mujeres,MX,86.05,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
675,Port Said,EG,80.67,clear sky,31.2565,32.2841,Aracan Hotel
676,Hearst,CA,70.59,clear sky,49.6835,-83.6665,Companion
677,Esna,EG,86.97,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
678,Ha Giang,VN,72.16,light rain,22.8333,104.9833,Truong Xuan Ecolodge
680,Denpasar,ID,76.66,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
685,San Ramon De La Nueva Oran,AR,87.35,scattered clouds,-23.1322,-64.326,Hotel Residencial Centro
687,Byron Bay,AU,72.05,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
689,Caravelas,BR,72.48,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
691,Upata,VE,78.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
692,Rabaul,PG,79.99,broken clouds,-4.1967,152.1721,Rabaul Hotel
695,Lanas,PH,79.68,overcast clouds,12.0495,121.9185,Carabao Guesthouse
